,stock,rpct,industry,attachment,attach_clss,rpct_class
0,创意信息,0.1002,电子信息,0.041043181818181826,3,0
1,亚联发展,0.1001,电子信息,0.040952272727272726,3,0
2,汇纳科技,0.1,电子信息,0.04087045454545455,3,0
3,朗科科技,0.1,电子信息,0.04087045454545455,3,0
4,乐凯新材,0.0727,电子信息,0.030249999999999996,0,0
5,焦点科技,0.0724,电子信息,0.030456603773584903,0,0
6,浙大网新,0.0692,电子信息,0.029194444444444436,0,0
7,朗玛信息,0.069,电子信息,0.029105555555555555,0,0
8,神州信息,0.0576,电子信息,0.021156521739130435,2,1
9,新大陆,0.0477,电子信息,0.017313207547169807,2,1
10,ST高升,0.0449,电子信息,0.015886792452830187,2,1
11,润欣科技,0.0416,电子信息,0.01454905660377358,1,1
12,德生科技,0.0358,电子信息,0.01291071428571429,1,1
13,浪潮信息,0.0297,电子信息,0.012338333333333333,1,1
14,御银股份,0.028999999999999998,电子信息,0.012449180327868854,1,1
15,云赛智联,0.0263,电子信息,0.011823333333333332,1,1
16,科远股份,0.0243,电子信息,0.012019354838709676,1,3
17,联创电子,0.0234,电子信息,0.011982258064516128,1,3
18,金智科技,0.0223,电子信息,0.012179365079365078,1,3
19,汇源通信,0.0257,通   讯,0.01240793650793651,1,3
20,杰赛科技,0.0254,通   讯,0.012141935483870965,1,3
21,星网锐捷,0.0248,通   讯,0.012064516129032261,1,3
22,波导股份,0.0228,通   讯,0.01218730158730159,1,3
23,万马科技,0.021,通   讯,0.011953225806451619,1,3
24,中通国脉,0.0184,通   讯,0.012570769230769227,1,3
25,天音控股,0.0172,通   讯,0.012303125,1,3
26,中兴通讯,0.0155,通   讯,0.012298437499999992,1,3
27,友讯达,0.0145,通   讯,0.012345312499999999,1,3
28,三维通信,0.0144,通   讯,0.0123546875,1,3
29,同洲电子,0.0125,通   讯,0.01315373134328358,1,3
30,烽火电子,0.0122,通   讯,0.013176119402985074,1,3
31,奥维通信,0.01,通   讯,0.013635294117647056,1,3
32,中海达,0.0088,通   讯,0.013608955223880602,1,3
33,东土科技,0.0072,通   讯,0.013709090909090912,1,3
