股票,涨跌幅,行业
创意信息,0.1002,电子信息
亚联发展,0.1001,电子信息
汇纳科技,0.1,电子信息
朗科科技,0.1,电子信息
乐凯新材,0.0727,电子信息
焦点科技,0.0724,电子信息
浙大网新,0.0692,电子信息
朗玛信息,0.069,电子信息
神州信息,0.0576,电子信息
新大陆,0.0477,电子信息
ST高升,0.0449,电子信息
润欣科技,0.0416,电子信息
德生科技,0.0358,电子信息
浪潮信息,0.0297,电子信息
御银股份,0.029,电子信息
云赛智联,0.0263,电子信息
科远股份,0.0243,电子信息
联创电子,0.0234,电子信息
金智科技,0.0223,电子信息
汇源通信,0.0257,通   讯
杰赛科技,0.0254,通   讯
星网锐捷,0.0248,通   讯
波导股份,0.0228,通   讯
万马科技,0.021,通   讯
中通国脉,0.0184,通   讯
天音控股,0.0172,通   讯
中兴通讯,0.0155,通   讯
友讯达,0.0145,通   讯
三维通信,0.0144,通   讯
同洲电子,0.0125,通   讯
烽火电子,0.0122,通   讯
奥维通信,0.01,通   讯
中海达,0.0088,通   讯
东土科技,0.0072,通   讯
大唐电信,0.1002,通   讯
迪普科技,0.1001,通   讯
宜通世纪,0.1,通   讯
世纪鼎利,0.0996,通   讯
北纬科技,0.0995,通   讯
富春股份,0.0542,通   讯
高鸿股份,0.0533,通   讯
瑞斯康达,0.0516,通   讯
*ST凡谷,0.0499,通   讯
凯乐科技,0.0478,通   讯
神州数码,0.0449,通   讯
华星创业,0.0446,通   讯
北讯集团,0.0428,通   讯
博创科技,0.0368,通   讯
中富通,0.0364,通   讯
数码科技,0.0358,通   讯
航天发展,0.0333,通   讯
盛路通信,0.0324,通   讯
亿联网络,0.0282,通   讯
香江控股,0.0992,地   产
北辰实业,0.0701,地   产
中南建设,-0.0058,地   产
上实发展,0.0319,地   产
苏州高新,0.0244,地   产
华侨城A,-0.0139,地   产
天房发展,0.0386,地   产
大港股份,0.0172,地   产
中国高科,0.0374,地   产
滨江集团,-0.0065,地   产
京投发展,0.032,地   产
蓝光发展,0.0072,地   产
粤泰股份,-0.0339,地   产
泰禾集团,0.0061,地   产
苏宁环球,-0.0026,地   产
光明地产,-0.0033,地   产
金科股份,-0.0233,地   产
中华企业,0.0376,地   产
渝开发,-0.0142,地   产
三湘印象,-0.017,地   产
城投控股,0.0075,地   产
金融街,-0.0132,地   产
栖霞建设,-0.0218,地   产
福星股份,-0.0132,地   产
南山控股,-0.0115,地   产
信达地产,0.008,地   产
海通证券,0.034,信   托
哈投股份,0.0998,信   托
东吴证券,0.0591,信   托
华泰证券,0.0052,信   托
长江证券,0.0301,信   托
中信证券,0.0038,信   托
光大证券,0.0151,信   托
东北证券,0.019,信   托
中国银河,0,信   托
国元证券,0.008,信   托
兴业证券,0.0102,信   托
国盛金控,0,信   托
中原证券,-0.0085,信   托
国金证券,0.0009,信   托
国投资本,-0.005,信   托
东兴证券,0.0154,信   托
华创阳安,-0.0073,信   托
财通证券,-0.009,信   托
华安证券,0.0029,信   托
东方证券,0,信   托
西南证券,0.0108,信   托
